L	D	resultado	R	PAPI_L3_TCA	fallo
16384	93	29.618625	16384	1766414	0
16384	93	15.207759	16384	1761963	0
16384	93	17.320972	16384	1760102	0
16384	93	15.866995	16384	1761642	0
16384	93	15.221672	16384	1761989	0
16384	93	14.913420	16384	1760707	0
16384	93	15.524521	16384	1760136	0
16384	93	15.245066	16384	1760594	0
32768	1	9.775780	262144	154756	0
32768	1	14.109612	262144	146208	0
32768	1	9.890876	262144	146207	0
32768	1	13.168833	262144	158405	0
32768	1	14.774825	262144	134235	0
32768	1	10.200153	262144	150268	0
32768	1	10.815233	262144	159614	0
32768	1	9.385487	262144	140588	0
32768	1	10.782774	262144	152316	0
32768	1	15.316116	262144	144881	0
32768	5	12.033661	52428	278610	0
32768	5	10.591929	52428	290010	0
32768	5	10.357068	52428	383795	0
32768	5	11.491596	52428	389377	0
32768	5	10.703110	52428	323322	0
32768	5	10.426944	52428	228094	0
32768	5	9.867723	52428	362297	0
32768	5	10.713973	52428	474291	0
32768	5	15.760853	52428	612799	0
32768	5	10.806245	52428	464197	0
32768	12	17.653053	32768	1532200	0
32768	12	17.871737	32768	1526127	0
32768	12	20.146288	32768	1873481	0
32768	12	17.612147	32768	1469642	0
32768	12	20.605649	32768	1700142	0
32768	12	20.754868	32768	1606595	0
32768	12	26.622803	32768	2288868	0
32768	12	22.160377	32768	1998685	0
32768	12	21.768318	32768	1878935	0
32768	12	22.786096	32768	2010969	0
32768	51	25.443621	32768	3404568	0
32768	51	29.205940	32768	3415400	0
32768	51	26.792749	32768	3412265	0
32768	51	28.169408	32768	3413675	0
32768	51	27.603315	32768	3402660	0
32768	51	25.533492	32768	3413354	0
32768	51	28.042296	32768	3400335	0
32768	51	41.348078	32768	3438101	0
32768	51	29.318448	32768	3408446	0
32768	51	36.782557	32768	3430912	0
32768	93	28.861838	32768	3517730	0
32768	93	28.216830	32768	3520220	0
32768	93	27.791918	32768	3517088	0
32768	93	28.194450	32768	3519831	0
32768	93	27.569104	32768	3518330	0
32768	93	27.882108	32768	3519551	0
32768	93	27.401075	32768	3519413	0
32768	93	27.306646	32768	3520135	0
32768	93	28.053260	32768	3520235	0
32768	93	28.274122	32768	3520732	0
