L	D	resultado	R	PAPI_SR_INS	fallo
8192	93	15.900410	8192	1638865	0
8192	93	13.394854	8192	1638865	0
8192	93	14.662793	8192	1638865	0
16384	1	9.726703	131072	26214865	0
16384	1	9.221565	131072	26214865	0
16384	1	9.923558	131072	26214865	0
16384	1	9.363336	131072	26214865	0
16384	1	9.174402	131072	26214865	0
16384	1	10.061519	131072	26214865	0
16384	1	9.274065	131072	26214865	0
16384	1	9.170496	131072	26214865	0
16384	1	10.247616	131072	26214865	0
16384	1	9.373402	131072	26214865	0
16384	5	9.424553	26214	5243265	0
16384	5	9.241527	26214	5243265	0
16384	5	9.811467	26214	5243265	0
16384	5	9.356521	26214	5243265	0
16384	5	14.833558	26214	5243265	0
16384	5	9.322307	26214	5243265	0
16384	5	9.327509	26214	5243265	0
16384	5	9.330686	26214	5243265	0
16384	5	9.345834	26214	5243265	0
16384	5	10.875908	26214	5243265	0
16384	12	11.781736	16384	3277265	0
16384	12	14.149043	16384	3277265	0
16384	12	14.162651	16384	3277265	0
16384	12	15.354651	16384	3277265	0
16384	12	13.638428	16384	3277265	0
16384	12	13.012463	16384	3277265	0
16384	12	13.538389	16384	3277265	0
16384	12	11.969011	16384	3277265	0
16384	12	16.394282	16384	3277265	0
16384	12	12.202424	16384	3277265	0
16384	51	35.892637	16384	3277265	0
16384	51	20.373875	16384	3277265	0
16384	51	21.026460	16384	3277265	0
16384	51	19.563938	16384	3277265	0
16384	51	18.697231	16384	3277265	0
16384	51	22.143528	16384	3277265	0
16384	51	20.045642	16384	3277265	0
16384	51	19.666785	16384	3277265	0
16384	51	16.777634	16384	3277265	0
16384	51	19.862903	16384	3277265	0
16384	93	16.175684	16384	3277265	0
16384	93	17.310818	16384	3277265	0
16384	93	16.055334	16384	3277265	0
16384	93	15.257163	16384	3277265	0
16384	93	15.489824	16384	3277265	0
16384	93	16.890059	16384	3277265	0
16384	93	16.582517	16384	3277265	0
16384	93	15.212971	16384	3277265	0
16384	93	15.675544	16384	3277265	0
16384	93	14.636987	16384	3277265	0
32768	1	9.879840	262144	52429265	0
32768	1	9.355864	262144	52429265	0
32768	1	11.340093	262144	52429265	0
32768	1	10.032968	262144	52429265	0
32768	1	10.111001	262144	52429265	0
32768	1	9.442827	262144	52429265	0
32768	1	10.646521	262144	52429265	0
32768	1	15.655832	262144	52429265	0
32768	1	10.388574	262144	52429265	0
32768	1	10.007724	262144	52429265	0
32768	5	15.095451	52428	10486065	0
32768	5	10.609294	52428	10486065	0
32768	5	10.250687	52428	10486065	0
32768	5	14.360941	52428	10486065	0
32768	5	10.908115	52428	10486065	0
32768	5	10.812958	52428	10486065	0
32768	5	10.247063	52428	10486065	0
32768	5	10.071035	52428	10486065	0
32768	5	14.427726	52428	10486065	0
32768	5	10.804115	52428	10486065	0
32768	12	23.836360	32768	6554065	0
32768	12	23.898401	32768	6554065	0
32768	12	30.343159	32768	6554065	0
32768	12	21.758507	32768	6554065	0
32768	12	23.009521	32768	6554065	0
32768	12	24.044391	32768	6554065	0
32768	12	31.201228	32768	6554065	0
32768	12	20.327078	32768	6554065	0
32768	12	19.858047	32768	6554065	0
32768	12	21.469614	32768	6554065	0
32768	51	26.488325	32768	6554065	0
32768	51	28.609923	32768	6554065	0
32768	51	27.117125	32768	6554065	0
32768	51	27.396781	32768	6554065	0
32768	51	27.381787	32768	6554065	0
32768	51	25.735459	32768	6554065	0
32768	51	25.940430	32768	6554065	0
32768	51	40.331094	32768	6554065	0
32768	51	29.184706	32768	6554065	0
32768	51	27.038347	32768	6554065	0
32768	93	26.611401	32768	6554065	0
32768	93	26.044631	32768	6554065	0
32768	93	25.621577	32768	6554065	0
32768	93	34.407057	32768	6554065	0
32768	93	27.321052	32768	6554065	0
32768	93	26.179819	32768	6554065	0
32768	93	26.040176	32768	6554065	0
32768	93	31.376111	32768	6554065	0
32768	93	27.413519	32768	6554065	0
32768	93	27.881133	32768	6554065	0
