L	D	resultado	R	PAPI_SR_INS	fallo
768	51	10.545573	768	154065	0
768	51	15.342396	768	154065	0
768	51	15.811667	768	154065	0
768	93	9.744063	768	154065	0
768	93	10.764531	768	154065	0
768	93	9.803698	768	154065	0
768	93	9.816615	768	154065	0
768	93	9.688333	768	154065	0
768	93	9.781198	768	154065	0
768	93	9.998594	768	154065	0
768	93	11.901198	768	154065	0
768	93	10.957656	768	154065	0
768	93	9.804063	768	154065	0
2048	1	9.169407	16384	3277265	0
2048	1	9.097180	16384	3277265	0
2048	1	9.247136	16384	3277265	0
2048	1	9.095281	16384	3277265	0
2048	1	9.166445	16384	3277265	0
2048	1	11.969517	16384	3277265	0
2048	1	9.175581	16384	3277265	0
2048	1	9.125332	16384	3277265	0
2048	1	9.112124	16384	3277265	0
2048	1	9.289216	16384	3277265	0
2048	5	9.376667	3276	655665	0
2048	5	9.188840	3276	655665	0
2048	5	9.180879	3276	655665	0
2048	5	9.331013	3276	655665	0
2048	5	9.578620	3276	655665	0
2048	5	9.392613	3276	655665	0
2048	5	9.182821	3276	655665	0
2048	5	9.178266	3276	655665	0
2048	5	9.233663	3276	655665	0
2048	5	9.518083	3276	655665	0
2048	12	10.505078	2048	410065	0
2048	12	9.404375	2048	410065	0
2048	12	18.503984	2048	410065	0
2048	12	9.554785	2048	410065	0
2048	12	9.955566	2048	410065	0
2048	12	14.601816	2048	410065	0
2048	12	9.743516	2048	410065	0
2048	12	9.513027	2048	410065	0
2048	12	9.812578	2048	410065	0
2048	12	9.893691	2048	410065	0
2048	51	10.150664	2048	410065	0
2048	51	11.458359	2048	410065	0
2048	51	10.562812	2048	410065	0
2048	51	10.124238	2048	410065	0
2048	51	10.105820	2048	410065	0
2048	51	10.151152	2048	410065	0
2048	51	12.912773	2048	410065	0
2048	51	10.176035	2048	410065	0
2048	51	10.117441	2048	410065	0
2048	51	9.973633	2048	410065	0
2048	93	11.296875	2048	410065	0
2048	93	10.221855	2048	410065	0
2048	93	9.954336	2048	410065	0
2048	93	10.051504	2048	410065	0
2048	93	10.366758	2048	410065	0
2048	93	10.861426	2048	410065	0
2048	93	10.219316	2048	410065	0
2048	93	10.484023	2048	410065	0
2048	93	9.998281	2048	410065	0
2048	93	10.451523	2048	410065	0
3072	1	9.166429	24576	4915665	0
3072	1	9.113939	24576	4915665	0
3072	1	9.721631	24576	4915665	0
3072	1	10.509878	24576	4915665	0
3072	1	9.099224	24576	4915665	0
3072	1	9.242664	24576	4915665	0
3072	1	9.145067	24576	4915665	0
3072	1	9.320840	24576	4915665	0
3072	1	9.198278	24576	4915665	0
3072	1	9.127975	24576	4915665	0
3072	5	9.368317	4915	983465	0
3072	5	10.790771	4915	983465	0
3072	5	9.271813	4915	983465	0
3072	5	9.176732	4915	983465	0
3072	5	13.649880	4915	983465	0
3072	5	9.761880	4915	983465	0
3072	5	9.326665	4915	983465	0
3072	5	9.192407	4915	983465	0
3072	5	9.200749	4915	983465	0
3072	5	9.208431	4915	983465	0
3072	12	10.127018	3072	614865	0
3072	12	10.438763	3072	614865	0
3072	12	10.134036	3072	614865	0
3072	12	10.100091	3072	614865	0
3072	12	10.111055	3072	614865	0
3072	12	10.103411	3072	614865	0
3072	12	9.995612	3072	614865	0
3072	12	10.242565	3072	614865	0
3072	12	10.892565	3072	614865	0
3072	12	10.253776	3072	614865	0
3072	51	10.509857	3072	614865	0
3072	51	10.836432	3072	614865	0
3072	51	19.923919	3072	614865	0
3072	51	10.763060	3072	614865	0
3072	51	10.803919	3072	614865	0
3072	51	10.912174	3072	614865	0
3072	51	10.931198	3072	614865	0
3072	51	10.654349	3072	614865	0
3072	51	10.529258	3072	614865	0
3072	51	11.034010	3072	614865	0
3072	93	11.879232	3072	614865	0
3072	93	11.261836	3072	614865	0
3072	93	11.143633	3072	614865	0
3072	93	17.428984	3072	614865	0
3072	93	11.154661	3072	614865	0
3072	93	13.693815	3072	614865	0
3072	93	11.462383	3072	614865	0
3072	93	11.598906	3072	614865	0
3072	93	11.002552	3072	614865	0
3072	93	11.328607	3072	614865	0
8192	1	9.540845	65536	13107665	0
8192	1	9.343846	65536	13107665	0
8192	1	9.250256	65536	13107665	0
8192	1	9.139951	65536	13107665	0
8192	1	9.217119	65536	13107665	0
8192	1	9.454262	65536	13107665	0
8192	1	9.189426	65536	13107665	0
8192	1	10.213700	65536	13107665	0
8192	1	9.364275	65536	13107665	0
8192	1	9.442440	65536	13107665	0
8192	5	9.325832	13107	2621865	0
8192	5	9.244147	13107	2621865	0
8192	5	10.487080	13107	2621865	0
8192	5	9.353951	13107	2621865	0
8192	5	9.317238	13107	2621865	0
8192	5	9.218177	13107	2621865	0
8192	5	14.041077	13107	2621865	0
8192	5	9.292427	13107	2621865	0
8192	5	9.229697	13107	2621865	0
8192	5	9.903319	13107	2621865	0
8192	12	10.733291	8192	1638865	0
8192	12	10.695889	8192	1638865	0
8192	12	10.691758	8192	1638865	0
8192	12	10.962788	8192	1638865	0
8192	12	10.758569	8192	1638865	0
8192	12	10.851802	8192	1638865	0
8192	12	10.666128	8192	1638865	0
8192	12	10.883071	8192	1638865	0
8192	12	10.710659	8192	1638865	0
8192	12	16.293437	8192	1638865	0
8192	51	15.882056	8192	1638865	0
8192	51	13.161006	8192	1638865	0
8192	51	13.161021	8192	1638865	0
8192	51	13.242881	8192	1638865	0
8192	51	13.170166	8192	1638865	0
8192	51	15.181372	8192	1638865	0
8192	51	13.817866	8192	1638865	0
8192	51	13.110352	8192	1638865	0
8192	51	13.234487	8192	1638865	0
8192	51	13.046011	8192	1638865	0
8192	93	14.114204	8192	1638865	0
8192	93	13.405508	8192	1638865	0
8192	93	14.045728	8192	1638865	0
8192	93	13.265464	8192	1638865	0
8192	93	24.136499	8192	1638865	0
8192	93	15.714883	8192	1638865	0
8192	93	13.323062	8192	1638865	0
8192	93	14.635654	8192	1638865	0
8192	93	13.455186	8192	1638865	0
8192	93	14.075498	8192	1638865	0
16384	1	10.062786	131072	26214865	0
16384	1	9.293088	131072	26214865	0
16384	1	9.433651	131072	26214865	0
16384	1	10.057873	131072	26214865	0
16384	1	9.159846	131072	26214865	0
16384	1	9.324227	131072	26214865	0
16384	1	9.962118	131072	26214865	0
16384	1	9.155399	131072	26214865	0
16384	1	9.295295	131072	26214865	0
16384	1	10.199969	131072	26214865	0
16384	5	9.469578	26214	5243265	0
16384	5	9.458349	26214	5243265	0
16384	5	9.240620	26214	5243265	0
16384	5	9.251731	26214	5243265	0
16384	5	9.529380	26214	5243265	0
16384	5	9.943124	26214	5243265	0
16384	5	9.571833	26214	5243265	0
16384	5	13.882145	26214	5243265	0
16384	5	10.158494	26214	5243265	0
16384	5	9.372915	26214	5243265	0
16384	12	11.787861	16384	3277265	0
16384	12	13.685715	16384	3277265	0
16384	12	11.667441	16384	3277265	0
16384	12	14.424514	16384	3277265	0
16384	12	13.617195	16384	3277265	0
16384	12	27.700356	16384	3277265	0
16384	12	11.192512	16384	3277265	0
