L	D	resultado	R	PAPI_L2_TCA	fallo
8192	93	13.924248	8192	890245	0
8192	93	13.310752	8192	890284	0
8192	93	15.246938	8192	890628	0
8192	93	13.244595	8192	890612	0
8192	93	14.558359	8192	890127	0
8192	93	13.319355	8192	890965	0
8192	93	14.941685	8192	890178	0
8192	93	13.324746	8192	890277	0
8192	93	15.145869	8192	889782	0
8192	93	14.685342	8192	890360	0
16384	1	9.294384	131072	2459746	0
16384	1	9.413771	131072	2460227	0
16384	1	9.354648	131072	2460218	0
16384	1	9.380320	131072	2459980	0
16384	1	9.249446	131072	2459461	0
16384	1	9.177606	131072	2458851	0
16384	1	9.386559	131072	2459703	0
16384	1	9.423734	131072	2460059	0
16384	1	9.254922	131072	2459402	0
16384	1	9.290728	131072	2459819	0
16384	5	9.247192	26214	1802742	0
16384	5	9.492157	26214	1802787	0
16384	5	9.283128	26214	1802781	0
16384	5	10.314965	26214	1803705	0
16384	5	9.242223	26214	1802644	0
16384	5	9.273570	26214	1803080	0
16384	5	9.367494	26214	1802822	0
16384	5	9.435628	26214	1803414	0
16384	5	9.936980	26214	1802806	0
16384	5	9.251832	26214	1802699	0
16384	12	15.888384	16384	1741946	0
16384	12	12.833396	16384	1741155	0
16384	12	12.220095	16384	1741424	0
16384	12	12.759109	16384	1741256	0
16384	12	12.724521	16384	1741310	0
16384	12	16.814421	16384	1742755	0
16384	12	13.066538	16384	1741397	0
16384	12	12.413772	16384	1741300	0
16384	12	11.822727	16384	1741350	0
16384	12	12.430249	16384	1741061	0
16384	51	17.521045	16384	1763111	0
16384	51	24.198953	16384	1763531	0
16384	51	22.689641	16384	1763950	0
16384	51	17.680886	16384	1763227	0
16384	51	19.215527	16384	1763317	0
16384	51	22.226638	16384	1763464	0
16384	51	20.922002	16384	1763271	0
16384	51	17.770962	16384	1763421	0
16384	51	18.262568	16384	1763403	0
16384	51	18.738682	16384	1763260	0
16384	93	17.492505	16384	1780432	0
16384	93	18.113589	16384	1780693	0
16384	93	18.067578	16384	1780525	0
16384	93	19.565972	16384	1782154	0
16384	93	18.183845	16384	1780564	0
16384	93	16.999070	16384	1780431	0
16384	93	18.081970	16384	1782162	0
16384	93	17.238437	16384	1780755	0
16384	93	17.090474	16384	1781626	0
16384	93	16.353674	16384	1780380	0
32768	1	9.493950	262144	4931658	0
32768	1	9.508977	262144	4934816	0
32768	1	9.471950	262144	4929978	0
32768	1	9.512348	262144	4932455	0
32768	1	13.465179	262144	4933235	0
32768	1	14.341389	262144	4930631	0
32768	1	14.853298	262144	4930685	0
32768	1	13.862138	262144	4931562	0
32768	1	10.225985	262144	4931738	0
32768	1	13.933714	262144	4929613	0
32768	5	19.596528	52428	3615573	0
32768	5	16.571268	52428	3614974	0
32768	5	14.604842	52428	3613883	0
32768	5	13.220382	52428	3614438	0
