L	D	resultado	R	PAPI_L3_TCM	fallo
32768	1	13.641298	262144	80450	0
32768	1	13.755901	262144	77940	0
32768	1	13.773230	262144	86153	0
32768	1	14.273591	262144	76546	0
32768	1	12.969317	262144	80532	0
32768	1	14.034602	262144	58972	0
32768	1	14.415733	262144	84512	0
32768	5	18.456925	52428	120931	0
32768	5	15.061191	52428	135862	0
32768	5	14.370719	52428	220336	0
32768	5	13.314144	52428	236138	0
32768	5	12.498743	52428	269072	0
32768	5	11.595570	52428	237460	0
32768	5	10.216108	52428	200427	0
32768	5	10.467492	52428	234785	0
32768	5	11.356186	52428	216355	0
32768	5	11.598389	52428	275882	0
32768	12	23.085638	32768	997542	0
32768	12	22.383055	32768	956398	0
32768	12	19.263152	32768	740218	0
32768	12	18.063951	32768	837667	0
32768	12	19.307682	32768	913274	0
32768	12	18.879685	32768	739084	0
32768	12	22.833091	32768	982565	0
32768	12	22.104836	32768	970766	0
32768	12	20.464304	32768	777796	0
32768	12	23.101976	32768	1016008	0
32768	51	28.592413	32768	1165868	0
32768	51	30.219424	32768	1204911	0
32768	51	27.651748	32768	1070159	0
32768	51	30.088749	32768	1180591	0
32768	51	27.846250	32768	1030762	0
32768	51	30.061538	32768	1230667	0
32768	51	28.664860	32768	1214178	0
32768	51	30.642932	32768	1248230	0
32768	51	27.827780	32768	1077309	0
32768	51	30.141688	32768	1215203	0
32768	93	27.651559	32768	859332	0
32768	93	26.133391	32768	774419	0
32768	93	25.142780	32768	720175	0
32768	93	27.449650	32768	699226	0
32768	93	33.200020	32768	839229	0
32768	93	28.810459	32768	837190	0
32768	93	27.226585	32768	851252	0
32768	93	24.608396	32768	790207	0
32768	93	28.322655	32768	886761	0
32768	93	24.234919	32768	778742	0
